Repo,Remote
vite-plugin-inspect,https://github.com/antfu/vite-plugin-inspect
vite-plugin-md,https://github.com/antfu/vite-plugin-md
vite-plugin-mock,https://github.com/anncwb/vite-plugin-mock.git
vite-plugin-pages,https://github.com/hannoeru/vite-plugin-pages.git
vite-plugin-pwa,https://github.com/antfu/vite-plugin-pwa
vite-plugin-svg-icons,https://github.com/vbenjs/vite-plugin-svg-icons.git
vite-plugin-vue-i18n,https://github.com/intlify/vite-plugin-vue-i18n
vite-plugin-vue-jump,git@github.com:johnsoncodehk/vite-plugin-vue-jump.git
vite-plugin-vue-layouts,https://github.com/JohnCampionJr/vite-plugin-vue-layouts
vite-plugin-vue2,https://github.com/vitejs/vite-plugin-vue2.git
vite-ssg,https://github.com/antfu/vite-ssg
vitepress,https://github.com/vuejs/vitepress.git
vitesse,https://github.com/antfu/vitesse
vitesse-lite,https://github.com/antfu/vitesse-lite
vitesse-webext,https://github.com/antfu/vitesse-webext
vitest,https://github.com/vitest-dev/vitest.git
volar,https://github.com/johnsoncodehk/volar
volar.js,https://github.com/volarjs/volar.js.git
vscode-extension-samples,https://github.com/microsoft/vscode-extension-samples.git
vscode-iconify,https://github.com/antfu/vscode-iconify.git
vue-blog,https://github.com/vuejs/blog.git
vue-class-component,https://github.com/vuejs/vue-class-component.git
vue-cli,https://github.com/vuejs/vue-cli.git
vue-countTo,https://github.com/PanJiaChen/vue-countTo.git
vue-cropper,https://github.com/xyxiao001/vue-cropper.git
vue-devtools,https://github.com/vuejs/devtools.git
vue-docs,https://github.com/vuejs/docs.git
vue-hot-reload-api,https://github.com/vuejs/vue-hot-reload-api.git
vue-i18n-next,https://github.com/intlify/vue-i18n-next
vue-jsx-hot-loader,https://github.com/skyrpex/vue-jsx-hot-loader.git
vue-loader,https://github.com/vuejs/vue-loader.git
vue-manage-system,https://github.com/lin-xin/vue-manage-system.git
vue-property-decorator,https://github.com/kaorun343/vue-property-decorator.git
vue-router,https://github.com/vuejs/router
vue-starport,https://github.com/antfu/vue-starport.git
vue-test-utils,https://github.com/vuejs/test-utils.git
vue-vben-admin,https://github.com/anncwb/vue-vben-admin.git
vue-vine,https://github.com/vue-vine/vue-vine.git
vue.draggable.next,https://github.com/SortableJS/vue.draggable.next
vue2,https://github.com/vuejs/vue.git
vue2-jsx-runtime,https://github.com/LancerComet/vue2-jsx-runtime.git
vue3,https://github.com/vuejs/core
vueuse,https://github.com/vueuse/vueuse
vueuse-head,https://github.com/vueuse/head.git
vueuse-motion,https://github.com/vueuse/motion.git
vuex,https://github.com/vuejs/vuex
web-audio-samples,https://github.com/GoogleChromeLabs/web-audio-samples.git
webcodecs,https://github.com/w3c/webcodecs.git
webcodecs-play,https://github.com/notedit/webcodecs-play.git
webgl-cookbook,https://github.com/TaroRound/webgl-cookbook
webm-writer-js,https://github.com/thenickdude/webm-writer-js.git
webpack,https://github.com/webpack/webpack.git
webrtc-samples,https://github.com/webrtc/samples.git
what-time,https://github.com/antfu/what-time
winston,https://github.com/winstonjs/winston
xgplayer,https://github.com/bytedance/xgplayer.git
y-protocols,https://github.com/yjs/y-protocols.git
y-webrtc,https://github.com/yjs/y-webrtc.git
yjs,https://github.com/yjs/yjs.git
yjs-demos,https://github.com/yjs/yjs-demos.git
yup,https://github.com/jquense/yup
zod,https://github.com/colinhacks/zod.git
WFPlayer,https://github.com/zhw2590582/WFPlayer
enhanced-resolve,https://github.com/webpack/enhanced-resolve.git
json-rust,https://github.com/maciejhirsz/json-rust.git
json-tutorial,git@github.com:asd55667/json-tutorial.git
oxc,https://github.com/oxc-project/oxc.git
promises-tests,git@github.com:asd55667/promises-tests.git
puppeteer,https://github.com/puppeteer/puppeteer.git
serde_json,https://github.com/serde-rs/json.git
simd-json,https://github.com/simd-lite/simd-json.git
simdjson,https://github.com/simdjson/simdjson.git
tapable,https://github.com/webpack/tapable.git
vuetify,https://github.com/vuetifyjs/vuetify.git
wavesurfer.js,https://github.com/katspaugh/wavesurfer.js/
